No,ASG_Match_Key,ASG_ISSN,ASG_Title,"Subject area AJG2024
lowest]",AJG 2024
1,,,,,
2,,,,,
3,0001-3072,0001-3072,Abacus,Finance & Accounting,3
4,,,,,
5,1941-6520,1941-6520,Academy of Management Annals,General & Strategy,4*
6,2168-1007,2168-1007,Academy of Management Discoveries,General & Strategy,3
7,0001-4273,0001-4273,Academy of Management Journal,General & Strategy,4*
8,1537-260X,1537-260X,Academy of Management Learning and Education,Education,4*
9,1558-9080,1558-9080,Academy of Management Perspectives,General & Strategy,4
10,0363-7425,0363-7425,Academy of Management Review,General & Strategy,4*
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,0001-4788,0001-4788,Accounting and Business Research,Finance & Accounting,3
17,0810-5391,0810-5391,Accounting and Finance,Finance & Accounting,2
18,,,,,
19,,,,,
20,0951-3574,0951-3574,"Accounting, Auditing and Accountability Journal",Finance & Accounting,3
21,0963-9284,0963-9284,Accounting Education,Education,2
22,,,,,
23,0155-9982,0155-9982,Accounting Forum,Finance & Accounting,3
24,0148-4184,0148-4184,Accounting Historians Journal,Finance & Accounting,2
25,1032-3732,1032-3732,Accounting History,Finance & Accounting,2
26,2155-2851,2155-2851,Accounting History Review,Business History,2
27,0888-7993,0888-7993,Accounting Horizons,Finance & Accounting,3
28,1744-9480,1744-9480,Accounting in Europe,Finance & Accounting,2
29,,,,,
30,1030-9616,1030-9616,Accounting Research Journal,Finance & Accounting,2
31,,,,,
32,,,,,
33,,,,,
34,0361-3682,0361-3682,"Accounting, Organizations and Society",Finance & Accounting,4*
35,1046-8188,1046-8188,ACM Transactions on Information Systems,"Management Information Systems, Knowledge Management",
36,1049-3301,1049-3301,ACM Transactions on Modeling and Computer Simulation,"Management Information Systems, Knowledge Management",3
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,0095-3997,0095-3997,Administration and Society,Public Sector Management,2
47,0001-8392,0001-8392,Administrative Science Quarterly,General & Strategy,4*
48,,,,,
49,,,,,
50,,,,,
51,0882-6110,0882-6110,Advances in Accounting,Finance & Accounting,2
52,1475-1488,1475-1488,Advances in Accounting Behavioral Research,Finance & Accounting,2
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,1474-7871,1474-7871,Advances in Management Accounting,Finance & Accounting,2
63,,,,,
64,0742-3322,0742-3322,Advances in Strategic Management,General & Strategy,2
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,0169-5150,0169-5150,Agricultural Economics,Economics,2
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,1944-3900,1944-3900,AIS Transactions on Human-Computer Interaction,"Management Information Systems, Knowledge Management",2
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,0002-7642,0002-7642,American Behavioral Scientist,"Organization Behavior/Studies, Human Resource Management, Industrial Relations",1
103,,,,,
104,,,,,
105,1945-7782,1945-7782,American Economic Journal: Applied Economics,Economics,4
106,1945-7731,1945-7731,American Economic Journal: Economic Policy,Economics,3
107,1945-7707,1945-7707,American Economic Journal: Macroeconomics,Economics,4
108,1945-7669,1945-7669,American Economic Journal: Microeconomics,Economics,3
