id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
1,1619-4500,1614-2411,1619-4500,4OR,Q1,Computational Theory and Mathematics (Q1); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2),"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
2,,,,,,,
3,0001-3072,0001-3072,1467-6281,Abacus,Q2,Accounting (Q2),"Business, Management and Accounting"
4,1018-161X,1810-4851,1018-161X,Academia Economic Papers,Q4,"Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance"
5,1941-6520,1941-6520,1941-6067,Academy of Management Annals,Q1,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting"
6,2168-1007,2168-1007,,Academy of Management Discoveries,Q1,Business and International Management (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
7,0001-4273,0001-4273,,Academy of Management Journal,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)","Business, Management and Accounting"
8,1537-260X,1537-260X,,Academy of Management Learning and Education,Q1,Education (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting; Social Sciences"
9,1558-9080,1558-9080,,Academy of Management Perspectives,Q1,Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
10,0363-7425,0363-7425,,Academy of Management Review,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)","Business, Management and Accounting"
11,,,,,,,
12,0001-4575,1879-2057,0001-4575,Accident Analysis and Prevention,Q1,"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1); Transportation (Q1)",Engineering; Medicine; Social Sciences
13,,,,,,,
14,1519-7077,1808-057X,1519-7077,Revista Contabilidade e Financas,Q4,Accounting (Q4); Finance (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
15,,,,,,,
16,0001-4788,2159-4260,0001-4788,Accounting and Business Research,Q1,Accounting (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
17,0810-5391,1467-629X,0810-5391,Accounting and Finance,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
18,,,,,,,
19,1530-9320,1530-9320,,Accounting and the Public Interest,Q4,Accounting (Q4),"Business, Management and Accounting"
20,0951-3574,0951-3574,,"Accounting, Auditing and Accountability Journal",Q1,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
21,0963-9284,1468-4489,0963-9284,Accounting Education,Q1,Education (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences"
22,,,,,,,
23,0155-9982,0155-9982,1467-6303,Accounting Forum,Q1,Accounting (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
24,0148-4184,0148-4184,2327-4468,Accounting Historians Journal,Q1,History (Q1); Accounting (Q3),"Arts and Humanities; Business, Management and Accounting"
25,1032-3732,1032-3732,1749-3374,Accounting History,Q1,History (Q1); Accounting (Q3),"Arts and Humanities; Business, Management and Accounting"
