No,Scopus_Match_Key,Scopus_ISSN,Scopus_EISSN,Scopus_Title,Active or Inactive,Coverage,Titles Discontinued by Scopus,Source Type,"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
1,1619-4500,1619-4500,1614-2411,4OR,Active,2003-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,Computer Science ,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0001-3072,0001-3072,1467-6281,Abacus,Active,1965-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
4,1018-161X,1018-161X,1810-4851,Academia Economic Papers,Active,2018-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
5,1941-6520,1941-6520,1941-6067,Academy of Management Annals,Active,2010-2026; 2007-2008,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
6,2168-1007,,2168-1007,Academy of Management Discoveries,Active,2019-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
7,0001-4273,0001-4273,,Academy of Management Journal,Active,1975-2026; 1973; 1970-1971; 1966-1968; 1961,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
8,1537-260X,1537-260X,,Academy of Management Learning and Education,Active,2005-2026; 2003,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
9,1558-9080,1558-9080,,Academy of Management Perspectives,Active,2006-2025; 1987-1994,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
10,0363-7425,0363-7425,,Academy of Management Review,Active,1993-2026; 1976-1991,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
11,1095-6298,1095-6298,1528-2678,Academy of Marketing Studies Journal,Inactive,2008-2016,Discontinued by Scopus,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
12,0001-4575,0001-4575,1879-2057,Accident Analysis and Prevention,Active,1969-2026,,Journal,,Social Sciences,Physical Sciences,Health Sciences,,,,,,,,,,,,,Engineering ,,,,,Medicine ,,,,,,Social Sciences ,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1519-7077,1519-7077,1808-057X,Revista Contabilidade e Financas,Active,2015-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
